"event","experiment time","system time","system time text"
"START",0.000000000E0,1720616175.911,"2024-07-10 14:56:15.911 UTC+02:00"
"PAUSE",8.355985861E1,1720616259.471,"2024-07-10 14:57:39.471 UTC+02:00"
