"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.192664980E-1,4.483553410E0,-8.560390472E0,2.686624146E1
8.293778640E-1,3.713261127E0,-1.047393036E1,1.898453522E1
8.394893300E-1,3.276418209E0,-1.150481033E1,1.450125217E1
8.508788850E-1,3.061685085E0,-1.315539742E1,1.558337688E1
8.609498850E-1,2.576335907E0,-1.408893967E1,1.677555656E1
8.710178850E-1,1.926532865E0,-1.383809280E1,1.608666992E1
8.810873850E-1,1.362923145E0,-1.309818935E1,1.541950226E1
8.911580510E-1,7.893781662E-1,-1.232927322E1,1.572330475E1
9.012293010E-1,3.799159527E-1,-1.168262672E1,1.661935425E1
9.113005010E-1,3.414093256E-1,-1.121565819E1,1.673995209E1
9.213718340E-1,6.193850040E-1,-1.069901562E1,1.628597641E1
9.314428340E-1,1.105574131E0,-1.021079445E1,1.624015617E1
9.415309590E-1,1.703448772E0,-9.706638336E0,1.630229759E1
9.516170700E-1,2.246743202E0,-9.181699753E0,1.611855888E1
9.617011700E-1,2.550624132E0,-8.738355637E0,1.615771484E1
9.717836240E-1,2.514912128E0,-8.659831047E0,1.632216454E1
9.818647900E-1,2.261814833E0,-8.969250679E0,1.632020569E1
9.919447900E-1,1.916712284E0,-9.506588936E0,1.628893661E1
1.002024147E0,1.702552438E0,-1.002190208E1,1.621536446E1
1.012143547E0,1.634583235E0,-1.041736603E1,1.607121277E1
1.022259734E0,1.849751830E0,-1.055369186E1,1.600339699E1
1.032373086E0,2.084744215E0,-1.051716232E1,1.593963242E1
1.042483919E0,2.278158188E0,-1.034382343E1,1.609955215E1
1.052592445E0,2.291723490E0,-1.028238106E1,1.623579407E1
1.062698895E0,2.159337282E0,-1.033445740E1,1.591085243E1
1.072803609E0,2.022703171E0,-1.044905376E1,1.593236923E1
1.082906745E0,1.912827253E0,-1.064766979E1,1.593402672E1
1.094233885E0,1.936089516E0,-1.094004440E1,1.544747353E1
1.104303885E0,2.208791971E0,-1.104493904E1,1.657163239E1
1.114369885E0,2.606762886E0,-1.061493111E1,1.716846848E1
1.124437385E0,2.857662678E0,-1.002235699E1,1.636631203E1
1.134503718E0,2.864627123E0,-9.651494980E0,1.611740112E1
1.144569968E0,2.664203167E0,-9.382288933E0,1.613882637E1
1.154635768E0,2.190924644E0,-9.351035118E0,1.586788654E1
1.164701434E0,1.823637366E0,-9.567687988E0,1.596637917E1
1.174766719E0,1.604700327E0,-9.727581024E0,1.610563087E1
1.184832469E0,1.579424739E0,-9.897927284E0,1.617975235E1
1.194898246E0,1.719141483E0,-1.009001732E1,1.634519577E1
1.204964146E0,1.983063340E0,-1.031221771E1,1.617444038E1
1.215030327E0,2.262085438E0,-1.051522255E1,1.607344055E1
1.225096577E0,2.556824207E0,-1.058158875E1,1.609227371E1
1.235162961E0,2.739523411E0,-1.056060600E1,1.591296482E1
1.245229603E0,2.739968300E0,-1.054610062E1,1.587535667E1
1.255339469E0,2.561884880E0,-1.053738022E1,1.620504761E1
1.265446844E0,2.291441679E0,-1.051011848E1,1.637343597E1
1.275551844E0,2.003398895E0,-1.047725964E1,1.643919373E1
1.285654788E0,1.771622419E0,-1.051226616E1,1.649567223E1
1.295755682E0,1.667889595E0,-1.055189514E1,1.644086456E1
1.305854932E0,1.685558558E0,-1.057570362E1,1.627905083E1
1.315952741E0,1.756762981E0,-1.052660561E1,1.613959122E1
1.326049241E0,1.889207244E0,-1.043192196E1,1.599519634E1
1.336179458E0,2.068623781E0,-1.026938820E1,1.616077995E1
1.346307166E0,2.172393322E0,-1.017625809E1,1.617119980E1
1.356433886E0,2.179128647E0,-1.012484550E1,1.620957184E1
1.366558309E0,2.149195671E0,-1.004906750E1,1.619276428E1
1.376680605E0,2.139161110E0,-9.991387367E0,1.622245026E1
1.386801033E0,2.154060841E0,-1.002663612E1,1.631702423E1
1.396919653E0,2.234859943E0,-1.007087898E1,1.620349312E1
1.407036653E0,2.313751936E0,-1.024267292E1,1.618067741E1
1.417153819E0,2.317008018E0,-1.039253426E1,1.650166512E1
1.427271185E0,2.287796021E0,-1.048319054E1,1.658299637E1
1.437388818E0,2.225143433E0,-1.051511002E1,1.619592667E1
1.447506618E0,2.153582573E0,-1.052965450E1,1.570532513E1
