"event","experiment time","system time","system time text"
"START",0.000000000E0,1720619417.820,"2024-07-10 15:50:17.820 UTC+02:00"
"PAUSE",6.277432433E2,1720620045.563,"2024-07-10 16:00:45.563 UTC+02:00"
