"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.032173370E-1,1.723968267E0,2.168452978E0,2.920656204E-1
9.132825590E-1,7.758457661E-1,1.368395209E0,4.664707184E-1
9.233480590E-1,-4.939521551E-1,4.978809357E-1,1.045326233E0
9.334138770E-1,-1.435914993E0,-1.783509254E-1,6.639251709E-1
9.434799600E-1,-1.332727194E0,-9.702384472E-1,2.909851074E-1
9.535541130E-1,-9.611402750E-1,-1.665769339E0,1.139163971E-1
9.636276840E-1,-2.907211542E0,-6.109067440E0,3.879093170E0
9.737348170E-1,-2.960306168E0,-4.503574848E0,-6.695969582E0
9.838391920E-1,-1.896191359E0,-2.609768629E0,-2.346259117E0
9.939410740E-1,-1.336924314E0,-2.891814470E0,5.451386452E0
1.004040518E0,-8.437263966E-2,-4.822587967E-1,1.889787483E1
1.014137833E0,-2.898089886E0,3.134207726E-1,9.504247665E0
1.024233383E0,-5.196018219E0,-4.889931679E-1,2.755642891E0
1.034327573E0,-4.082091808E0,-2.739517212E0,1.411734581E0
1.044420482E0,-2.036740065E0,-2.029843330E0,8.534231186E-1
1.054547134E0,-3.545907736E-1,-1.497621059E0,-2.063894272E-1
1.064671175E0,1.439147234E0,-1.075567245E0,2.796173096E-2
1.074792735E0,2.984899998E0,-4.309401512E-1,7.961368561E-2
1.084911927E0,3.401669264E0,1.784915924E-1,1.317148209E-1
1.095028889E0,2.986801147E0,9.962990284E-1,-1.157361031E0
1.105143781E0,2.947234154E0,1.695501804E0,-1.623162270E0
1.115256746E0,2.966660261E0,1.656068802E0,3.803634644E-2
1.125367946E0,2.359237671E0,1.318860054E0,1.063378334E0
1.135478879E0,1.539821386E0,7.051281929E-1,9.644374847E-1
1.145589845E0,8.364497423E-1,-1.659717560E-1,4.504489899E-2
1.155700645E0,7.780413628E-1,-6.600685120E-1,-7.122001648E-1
1.165811178E0,2.984005213E-1,-3.983716965E-1,-9.338130951E-1
1.175921478E0,-5.939819813E-1,-2.658286095E-1,-3.165273666E-1
1.186031611E0,-1.059434533E0,-4.480504990E-2,6.124200821E-1
1.196142444E0,-1.179705381E0,5.359458923E-2,1.038153648E0
1.206253310E0,-1.322611928E0,3.523654938E-1,1.123617172E0
1.216382043E0,-7.736271620E-1,7.506694794E-1,9.721736908E-1
1.226510809E0,-1.942505836E-1,1.273978949E0,5.992670059E-1
1.236639575E0,6.503925323E-1,2.068762779E0,4.369926453E-2
1.246768041E0,1.821134686E0,2.552508831E0,-3.934288025E-2
1.256892707E0,2.046388388E0,2.162730455E0,-2.801437378E-1
1.267017040E0,1.744880319E0,1.422500610E0,-6.078557968E-1
1.277124173E0,1.362078667E0,1.220380545E0,-3.763284683E-1
1.287231239E0,7.881194353E-1,1.306555748E0,-4.111576080E-2
1.298557971E0,2.353030443E-1,1.504635811E0,-9.497928619E-2
1.308613971E0,8.397591114E-2,1.502436161E0,-4.071664810E-1
1.318675971E0,1.613887548E-1,1.902567387E0,-8.099942207E-1
1.328737971E0,-3.869478703E-1,1.690903425E0,-1.134487152E0
1.338799971E0,-3.317794800E-1,1.588810205E0,3.769172668E0
1.348861971E0,-4.323422909E-2,1.240282297E0,2.417465210E0
1.358923971E0,-4.250258207E-2,1.730993509E0,3.024330139E-1
1.368985304E0,5.038817525E-1,2.717743158E0,-4.573163986E-1
1.379046161E0,5.830422640E-1,1.922119141E0,-3.149862289E-1
1.389107036E0,1.176495552E-1,6.273367405E-1,2.819385529E-1
1.399167369E0,-4.180051684E-1,-1.553692818E-1,6.563453674E-1
1.409227169E0,-6.774727106E-1,-4.505753517E-1,5.435590744E-1
1.419286896E0,-5.300061703E-1,-5.038924217E-1,4.125757217E-1
1.429346479E0,-1.631340384E-1,-5.873613358E-1,3.595428467E-1
1.439405940E0,2.356835008E-1,-6.521124840E-1,3.611230850E-1
1.449465368E0,5.288770199E-1,-6.991000175E-1,3.336820602E-1
1.459560234E0,7.311532497E-1,-6.593322754E-1,1.239652634E-1
1.469653171E0,8.509449363E-1,-4.985594749E-1,1.198034286E-1
1.479744112E0,8.937772512E-1,-2.854404449E-1,1.290664673E-1
1.489833223E0,8.684434295E-1,3.815412521E-2,2.975234985E-1
1.499920696E0,7.072801590E-1,2.495012283E-1,4.492254257E-1
1.510006846E0,3.980093598E-1,4.861679077E-1,5.849981308E-1
1.520091846E0,5.908167362E-2,7.007033825E-1,3.639612198E-1
1.530175936E0,-2.406290770E-1,8.528008461E-1,2.794408798E-1
1.540294022E0,-4.652420878E-1,8.947610855E-1,4.379634857E-1
1.550409730E0,-4.612854123E-1,8.565435410E-1,2.703132629E-1
1.560523170E0,-2.106795013E-1,7.306647301E-1,2.406749725E-1
1.570634516E0,5.028045177E-2,5.145351887E-1,1.202650070E-1
1.580744108E0,2.600433230E-1,2.570099831E-1,1.370859146E-1
1.590852143E0,2.425485849E-1,-3.293323517E-2,2.479858398E-1
1.600958798E0,4.497593641E-2,-9.363222122E-2,8.361148834E-2
1.611063998E0,-8.225886524E-2,-2.213716507E-2,-2.201671600E-1
1.621169198E0,-1.996934414E-2,1.247615814E-1,-2.634229660E-1
1.631275364E0,7.251884341E-1,6.239709854E-1,3.528957367E-1
1.641381597E0,7.389420271E-1,6.105771065E-1,3.462886810E-1
1.651487897E0,7.530518770E-1,5.990967751E-1,3.405990601E-1
1.661594230E0,7.576942444E-1,6.720237732E-1,4.300260544E-1
1.671700830E0,5.202237368E-1,7.690641880E-1,3.030681610E-1
1.681807796E0,2.002628148E-1,8.587033749E-1,2.957839966E-1
1.691914762E0,-9.938813746E-2,8.654744625E-1,1.477308273E-1
1.702040828E0,-2.893602550E-1,8.121955395E-1,2.570724487E-1
1.712166961E0,-3.559782505E-1,7.523474693E-1,3.428764343E-1
1.722293127E0,-3.317667246E-1,6.908953190E-1,4.264726639E-1
1.732419460E0,-2.708380818E-1,6.361846924E-1,4.675703049E-1
1.742545826E0,-1.190723181E-1,4.817821980E-1,4.492597580E-1
1.752672259E0,8.314967155E-3,3.471736908E-1,2.579145432E-1
1.762780992E0,5.389416218E-2,3.518540859E-1,7.503032684E-2
1.772889658E0,5.946215987E-2,3.476302624E-1,8.845138550E-2
1.784322971E0,1.582311094E-2,3.256630898E-1,2.937698364E-2
1.794389971E0,-1.001168787E-2,2.897284031E-1,1.644659042E-1
1.804455971E0,3.336031735E-2,3.110661507E-1,1.176071167E-1
1.814522471E0,1.224158406E-1,4.837543964E-1,8.815288544E-2
1.824588804E0,2.475031912E-1,6.958429813E-1,7.929801941E-3
1.834655554E0,4.704425633E-1,7.740485668E-1,-1.176824570E-1
1.844722354E0,5.904065967E-1,6.207220554E-1,6.436347961E-2
1.854788854E0,5.867887735E-1,2.791678905E-1,2.213287354E-1
1.864854282E0,4.582635164E-1,-9.117698669E-2,1.435813904E-1
