"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.860049700E-1,7.756608009E0,-8.126045465E-1,-8.680821419E0
7.960619030E-1,7.660460472E0,-7.774512172E-1,-8.604378700E0
8.061189690E-1,7.525523663E0,-8.627862334E-1,-8.359833717E0
8.161760020E-1,7.490927219E0,-8.766592145E-1,-8.286702156E0
8.262330020E-1,7.406562805E0,-9.649927616E-1,-8.263616562E0
8.362899020E-1,7.258172989E0,-1.000726938E0,-8.230774879E0
8.463466020E-1,7.343070507E0,-9.955556393E-1,-8.513336182E0
8.564031350E-1,7.310665607E0,-9.872806072E-1,-8.608918190E0
8.664595680E-1,7.216982841E0,-1.004957318E0,-8.562918663E0
8.765158680E-1,7.244479179E0,-9.676204920E-1,-8.463312149E0
8.865720010E-1,7.089487076E0,-9.721361399E-1,-8.442345619E0
8.966349340E-1,7.037066460E0,-9.626144171E-1,-8.583623886E0
9.066976340E-1,6.875275135E0,-9.545817375E-1,-8.473112106E0
9.167603000E-1,6.752438545E0,-1.013982773E0,-8.217959404E0
9.268229660E-1,6.749137878E0,-1.002638102E0,-8.169717789E0
9.368855660E-1,6.802294731E0,-9.924874306E-1,-8.079814911E0
9.469533320E-1,6.826980114E0,-9.174512625E-1,-8.091705322E0
9.570208650E-1,6.714405537E0,-9.819124937E-1,-8.194494247E0
9.670882650E-1,6.636574268E0,-1.030111790E0,-8.244451523E0
9.771554980E-1,6.616603851E0,-8.846472502E-1,-8.238949776E0
9.872227640E-1,6.578634739E0,-9.002186656E-1,-8.295529366E0
9.972900970E-1,6.370066643E0,-9.377520084E-1,-8.309127808E0
1.007354930E0,6.254044533E0,-9.731357098E-1,-8.116919518E0
1.017419630E0,6.200772285E0,-1.027051687E0,-8.055329323E0
1.027484163E0,6.190599442E0,-1.135290265E0,-8.140900612E0
1.037548529E0,6.162833691E0,-1.065012574E0,-8.272275925E0
1.047612762E0,6.228470802E0,-9.810551405E-1,-8.353156090E0
1.057676962E0,6.132056236E0,-8.830813169E-1,-8.252213478E0
1.067741062E0,6.030646324E0,-8.427460194E-1,-8.119556427E0
1.077805095E0,5.968425274E0,-8.473603725E-1,-8.033375740E0
1.087869228E0,5.969041348E0,-8.735399246E-1,-7.988623619E0
1.097933194E0,5.949628353E0,-8.972796202E-1,-8.005887032E0
1.107996927E0,5.934341908E0,-9.638447762E-1,-7.904449463E0
1.118060493E0,5.796522617E0,-9.452664256E-1,-7.857051373E0
1.128124026E0,5.700263977E0,-9.687273502E-1,-7.937445164E0
1.138187392E0,5.785381794E0,-9.396678209E-1,-7.965624332E0
1.148250658E0,5.766096592E0,-9.907295704E-1,-7.936648846E0
1.158313758E0,5.696478844E0,-1.029188991E0,-8.009519577E0
1.168376658E0,5.714357853E0,-8.524093032E-1,-7.993281364E0
1.178439491E0,5.571582317E0,-9.006656408E-1,-7.882094860E0
1.188507057E0,5.450863361E0,-9.167782068E-1,-8.046042442E0
1.198567690E0,5.344246387E0,-8.727710843E-1,-8.093527794E0
1.208628456E0,5.336829185E0,-9.103133678E-1,-7.946404934E0
1.218689156E0,5.243435383E0,-8.836893439E-1,-7.981206417E0
1.228749822E0,5.107270718E0,-8.721039891E-1,-8.035925865E0
1.238810388E0,5.083687782E0,-9.523917437E-1,-7.850451469E0
1.248865521E0,4.902386665E0,-8.889271617E-1,-7.713579178E0
1.258920521E0,4.799911976E0,-8.848171830E-1,-7.679049492E0
1.268975487E0,4.872431755E0,-9.257621765E-1,-7.725531101E0
1.279030620E0,4.862778187E0,-8.971601129E-1,-7.740248203E0
1.289085786E0,4.755527020E0,-8.414826989E-1,-7.839120388E0
1.299140819E0,4.599721432E0,-8.880625367E-1,-7.954495907E0
1.309195952E0,4.547447681E0,-9.019428492E-1,-7.890143394E0
1.319251185E0,4.566336155E0,-1.033519745E0,-7.772277355E0
1.329306551E0,4.675619125E0,-1.101035595E0,-7.667930603E0
1.339362017E0,4.694051266E0,-1.074512005E0,-7.626517296E0
1.349417317E0,4.749812126E0,-1.046806216E0,-7.558767319E0
1.359472483E0,4.906691551E0,-1.005221963E0,-7.503180027E0
1.369527616E0,5.095273495E0,-9.171110392E-1,-7.335875034E0
1.379582749E0,5.194189072E0,-8.545131087E-1,-7.301639557E0
1.389637749E0,4.855502605E0,-8.787379265E-1,-7.389471531E0
1.399692749E0,4.455836773E0,-9.627518058E-1,-7.605272770E0
1.409747882E0,4.148959160E0,-9.480189085E-1,-7.747625351E0
1.419803182E0,4.126927376E0,-1.094404459E0,-7.639048100E0
1.429863282E0,4.170982361E0,-9.937160015E-1,-7.337281227E0
1.439923615E0,4.134484768E0,-9.184340239E-1,-7.221426964E0
1.449984315E0,4.042628765E0,-1.017169237E0,-7.234077930E0
1.460045181E0,4.067233562E0,-9.184516668E-1,-7.190537453E0
1.470106247E0,4.085978508E0,-9.307793379E-1,-7.112221718E0
1.480167447E0,4.046021938E0,-9.271578789E-1,-7.268899441E0
1.490224147E0,4.072445869E0,-9.452594519E-1,-7.254115582E0
1.500280980E0,4.096147060E0,-9.917756915E-1,-7.104769230E0
1.510337746E0,3.939480305E0,-9.799082279E-1,-6.896627426E0
1.520394512E0,3.741540432E0,-9.254590273E-1,-6.663594723E0
1.530451378E0,3.581179619E0,-8.641862273E-1,-6.513373375E0
1.540508511E0,3.410711765E0,-1.196853161E0,-6.644142628E0
1.550565777E0,3.395993233E0,-1.161702275E0,-6.641391754E0
1.560623210E0,3.248967648E0,-9.923864603E-1,-6.669186592E0
1.570680710E0,2.999526024E0,-1.213351846E0,-6.879254341E0
1.580738276E0,2.728415489E0,-1.131253481E0,-7.036211491E0
1.590795809E0,2.588242531E0,-1.078213453E0,-7.235982418E0
