"event","experiment time","system time","system time text"
"START",0.000000000E0,1720617948.846,"2024-07-10 15:25:48.846 UTC+02:00"
"PAUSE",5.208042367E2,1720618469.650,"2024-07-10 15:34:29.650 UTC+02:00"
