"event","experiment time","system time","system time text"
"START",0.000000000E0,1720620325.441,"2024-07-10 16:05:25.441 UTC+02:00"
"PAUSE",7.152853318E2,1720621040.727,"2024-07-10 16:17:20.727 UTC+02:00"
