"Time (s)","w","x","y","z"
7.713089750E-1,4.646377646E-1,-1.808159985E-2,-4.036629945E-2,8.843954802E-1
7.810053290E-1,4.634161730E-1,-1.852706261E-2,-4.199168086E-2,8.849513531E-1
7.913722560E-1,4.619148435E-1,-1.890895329E-2,-4.378567636E-2,8.856409788E-1
8.011450160E-1,4.602635253E-1,-1.925300620E-2,-4.568544775E-2,8.863970041E-1
8.114632450E-1,4.584970848E-1,-1.966514438E-2,-4.747413099E-2,8.872090578E-1
8.213676200E-1,4.566214083E-1,-1.997238398E-2,-4.921128973E-2,8.880744576E-1
8.315413180E-1,4.547302254E-1,-1.990159228E-2,-5.092364177E-2,8.889494538E-1
8.415337140E-1,4.528293131E-1,-1.951564476E-2,-5.261958763E-2,8.898291588E-1
8.515804330E-1,4.509403501E-1,-1.881095022E-2,-5.444808677E-2,8.906931877E-1
8.616114750E-1,4.491565096E-1,-1.789287850E-2,-5.641933903E-2,8.914903998E-1
8.716860060E-1,4.476333531E-1,-1.687441207E-2,-5.846216157E-2,8.921445012E-1
8.816121000E-1,4.466267433E-1,-1.583023369E-2,-6.046947837E-2,8.925342560E-1
8.917035060E-1,4.464187151E-1,-1.520291716E-2,-6.216138974E-2,8.925330043E-1
9.016344430E-1,4.468093521E-1,-1.535910740E-2,-6.331960857E-2,8.922533989E-1
9.115790790E-1,4.475320758E-1,-1.607956365E-2,-6.392861158E-2,8.918349743E-1
9.216888700E-1,4.484059826E-1,-1.715131104E-2,-6.396220624E-2,8.913735151E-1
9.317242870E-1,4.490823964E-1,-1.859626733E-2,-6.357453018E-2,8.910316825E-1
9.416969430E-1,4.493801513E-1,-2.033921145E-2,-6.310691684E-2,8.908767104E-1
9.518469430E-1,4.492702378E-1,-2.226357535E-2,-6.285405904E-2,8.909040093E-1
9.617519430E-1,4.488568731E-1,-2.427342907E-2,-6.301503628E-2,8.910484910E-1
9.717310060E-1,4.484043880E-1,-2.624197118E-2,-6.370312721E-2,8.911715746E-1
9.805991830E-1,4.481556169E-1,-2.811659686E-2,-6.484791636E-2,8.911569715E-1
9.907289750E-1,4.482674372E-1,-2.972791344E-2,-6.629761308E-2,8.909417391E-1
1.001341110E0,4.487337015E-1,-3.118494712E-2,-6.772641838E-2,8.905496597E-1
1.010922725E0,4.494846817E-1,-3.267570212E-2,-6.901800632E-2,8.900181651E-1
1.020998610E0,4.502984054E-1,-3.428379074E-2,-7.011253387E-2,8.894606233E-1
1.031068558E0,4.508871094E-1,-3.599539772E-2,-7.104188949E-2,8.890209198E-1
1.041079964E0,4.511406080E-1,-3.767971322E-2,-7.194891572E-2,8.887495399E-1
1.051123870E0,4.511053977E-1,-3.916501626E-2,-7.280773669E-2,8.886332512E-1
1.060982308E0,4.508840732E-1,-4.044788331E-2,-7.351317257E-2,8.886300325E-1
1.071208089E0,4.505936578E-1,-4.147619754E-2,-7.406811416E-2,8.886838555E-1
1.081064704E0,4.502865689E-1,-4.224567488E-2,-7.447479665E-2,8.887692690E-1
1.091351995E0,4.499690601E-1,-4.267518967E-2,-7.479809225E-2,8.888823986E-1
1.101111527E0,4.496868852E-1,-4.276295006E-2,-7.513087988E-2,8.889929056E-1
1.111383870E0,4.495078417E-1,-4.255782068E-2,-7.549060136E-2,8.890628219E-1
1.121203297E0,4.493947062E-1,-4.215317965E-2,-7.592524588E-2,8.891022801E-1
1.131422829E0,4.492283236E-1,-4.158579186E-2,-7.638722658E-2,8.891735077E-1
1.141232777E0,4.488585854E-1,-4.092663527E-2,-7.681721449E-2,8.893537521E-1
1.151517985E0,4.481763147E-1,-4.034211487E-2,-7.713034004E-2,8.896973729E-1
1.161547360E0,4.471605601E-1,-3.960318863E-2,-7.757756114E-2,8.902026415E-1
1.171564391E0,4.459308733E-1,-3.853490204E-2,-7.835820317E-2,8.907977939E-1
1.181631579E0,4.446696936E-1,-3.758078441E-2,-7.937807590E-2,8.913785219E-1
1.191682204E0,4.436473796E-1,-3.724421188E-2,-8.038477600E-2,8.918117285E-1
1.201685277E0,4.430561927E-1,-3.743025288E-2,-8.131101727E-2,8.920138478E-1
1.211755068E0,4.429230725E-1,-3.788143024E-2,-8.199056983E-2,8.919987082E-1
1.221810745E0,4.430346957E-1,-3.851161152E-2,-8.226126432E-2,8.918913603E-1
1.231804339E0,4.432846563E-1,-3.911883011E-2,-8.218285441E-2,8.917479515E-1
1.241855277E0,4.435771729E-1,-3.954386711E-2,-8.196455985E-2,8.916038275E-1
1.251876943E0,4.438469558E-1,-3.976999223E-2,-8.177411556E-2,8.914769888E-1
1.261910120E0,4.440835887E-1,-3.983378038E-2,-8.172209561E-2,8.913610578E-1
1.271956475E0,4.442621128E-1,-3.989366442E-2,-8.187113702E-2,8.912557364E-1
1.281983245E0,4.443266264E-1,-4.003938287E-2,-8.220705390E-2,8.911861181E-1
1.292078037E0,4.443014768E-1,-4.028346390E-2,-8.266443014E-2,8.911453485E-1
1.302061162E0,4.442667966E-1,-4.062659293E-2,-8.313071728E-2,8.911036849E-1
1.312108506E0,4.443084704E-1,-4.106707871E-2,-8.354027569E-2,8.910244107E-1
1.322156318E0,4.444869638E-1,-4.140323028E-2,-8.402913809E-2,8.908738494E-1
1.331979860E0,4.448134749E-1,-4.169101268E-2,-8.454586565E-2,8.906485438E-1
1.342057881E0,4.455501441E-1,-4.641037807E-2,-8.367597312E-2,8.901289105E-1
1.352079964E0,4.462514601E-1,-5.068394169E-2,-8.282010257E-2,8.896244168E-1
1.362120797E0,4.468469424E-1,-5.455927178E-2,-8.200133592E-2,8.891720176E-1
1.372162308E0,4.472923226E-1,-5.806009471E-2,-8.120454848E-2,8.887994289E-1
1.382178714E0,4.476442613E-1,-6.115121767E-2,-8.043005317E-2,8.884853125E-1
1.392221058E0,4.479456521E-1,-6.391444057E-2,-7.968053967E-2,8.882064223E-1
1.402227777E0,4.482079813E-1,-6.641589105E-2,-7.891821116E-2,8.879585862E-1
1.412313506E0,4.484440947E-1,-6.867345423E-2,-7.817658782E-2,8.877332211E-1
1.422325120E0,4.485965504E-1,-7.071325183E-2,-7.747407258E-2,8.875576258E-1
1.432422672E0,4.487277410E-1,-7.259044796E-2,-7.673972100E-2,8.874035478E-1
1.442434027E0,4.487953946E-1,-7.422316819E-2,-7.608485967E-2,8.872906566E-1
1.452479808E0,4.487601028E-1,-7.552416623E-2,-7.554884255E-2,8.872445226E-1
1.462514391E0,4.486207537E-1,-7.665604353E-2,-7.506199181E-2,8.872592449E-1
1.472709964E0,4.485454773E-1,-7.766922563E-2,-7.463467121E-2,8.872452378E-1
1.482756318E0,4.484924862E-1,-7.852280885E-2,-7.429014891E-2,8.872258067E-1
1.492643714E0,4.484485598E-1,-7.919570059E-2,-7.401707768E-2,8.872110248E-1
1.502689079E0,4.483939779E-1,-7.972179353E-2,-7.379192859E-2,8.872102499E-1
1.512714183E0,4.483752400E-1,-8.016827703E-2,-7.355929911E-2,8.871988058E-1
1.522758506E0,4.483443494E-1,-8.055128902E-2,-7.328552008E-2,8.872023821E-1
1.533106422E0,4.482915296E-1,-8.089663833E-2,-7.305903733E-2,8.872163296E-1
1.542853454E0,4.482416439E-1,-8.119675517E-2,-7.295829058E-2,8.872224092E-1
1.552875589E0,4.481524196E-1,-8.162453026E-2,-7.284560800E-2,8.872374892E-1
1.562872620E0,4.480415941E-1,-8.225297928E-2,-7.262044400E-2,8.872538805E-1
1.572916891E0,4.479184701E-1,-8.304633200E-2,-7.214707136E-2,8.872807622E-1
1.582957777E0,4.478330990E-1,-8.369849622E-2,-7.159361243E-2,8.873074055E-1
1.592977725E0,4.478551760E-1,-8.394316584E-2,-7.126210630E-2,8.872998357E-1
1.603039704E0,4.480024673E-1,-8.396494389E-2,-7.108592987E-2,8.872375488E-1
1.613118558E0,4.484435227E-1,-8.256697655E-2,-7.103443891E-2,8.871500492E-1
1.623145329E0,4.491776064E-1,-8.020046353E-2,-7.084319741E-2,8.870110512E-1
1.633178766E0,4.499459282E-1,-7.894317061E-2,-7.033734024E-2,8.867746592E-1
1.643225902E0,4.504459601E-1,-7.888667285E-2,-6.974644959E-2,8.865724802E-1
1.653272047E0,4.506291100E-1,-7.899714261E-2,-6.933414191E-2,8.865019083E-1
1.663306318E0,4.506477956E-1,-7.863445580E-2,-6.910713017E-2,8.865423799E-1
1.673329027E0,4.506566423E-1,-7.816196978E-2,-6.886240840E-2,8.865987062E-1
1.683378245E0,4.506504256E-1,-7.792539895E-2,-6.854039431E-2,8.866476417E-1
1.693431318E0,4.506389928E-1,-7.783178985E-2,-6.825251132E-2,8.866838813E-1
1.704589235E0,4.506385971E-1,-7.774449140E-2,-6.795129180E-2,8.867148757E-1
1.714712204E0,4.506148108E-1,-7.758621126E-2,-6.762724370E-2,8.867655993E-1
1.724684287E0,4.505260388E-1,-7.739061862E-2,-6.731814891E-2,8.868513107E-1
1.734809964E0,4.504018633E-1,-7.728346437E-2,-6.704108417E-2,8.869447112E-1
1.744824287E0,4.502840514E-1,-7.732010633E-2,-6.672962755E-2,8.870248199E-1
1.754847933E0,4.501642838E-1,-7.727616280E-2,-6.659327447E-2,8.870996833E-1
1.764804391E0,4.501025341E-1,-7.716932148E-2,-6.666605175E-2,8.871348500E-1
1.774876214E0,4.500531760E-1,-7.709189504E-2,-6.685777009E-2,8.871521950E-1
1.784883714E0,4.499576234E-1,-7.706540823E-2,-6.709995866E-2,8.871846795E-1
1.795040589E0,4.498309519E-1,-7.705941051E-2,-6.733393669E-2,8.872317076E-1
1.804937412E0,4.496732319E-1,-7.703772187E-2,-6.750486046E-2,8.873005509E-1
1.815109235E0,4.495415895E-1,-7.695554197E-2,-6.760329008E-2,8.873668909E-1
1.825240120E0,4.494463354E-1,-7.678349316E-2,-6.761386991E-2,8.874292374E-1
1.835165068E0,4.494279354E-1,-7.658759505E-2,-6.761570275E-2,8.874553442E-1
1.845312152E0,4.494726581E-1,-7.642228156E-2,-6.770958751E-2,8.874397874E-1
1.855422412E0,4.494470002E-1,-7.629435509E-2,-6.788800657E-2,8.874501586E-1
1.865374131E0,4.492932476E-1,-7.620357722E-2,-6.810969859E-2,8.875188231E-1
1.875344183E0,4.491431219E-1,-7.616136968E-2,-6.835127622E-2,8.875798583E-1
1.885292412E0,4.490746439E-1,-7.611959428E-2,-6.863277406E-2,8.875963688E-1
1.895442100E0,4.490650054E-1,-7.606244087E-2,-6.894196570E-2,8.875821829E-1
1.905349131E0,4.490831798E-1,-7.599966973E-2,-6.926040351E-2,8.875535727E-1
1.915491683E0,4.490432592E-1,-7.593572140E-2,-6.959316134E-2,8.875532150E-1
