"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.411051720E-1,-1.414824843E0,-7.103178501E-1,3.973388672E-1
4.461243390E-1,-1.462878227E0,-5.922892690E-1,1.646051407E-1
4.511435060E-1,-1.603993058E0,-4.831404686E-1,1.180582047E-1
4.561626720E-1,-1.710811853E0,-3.435203433E-1,1.774559021E-1
4.611818390E-1,-1.737733126E0,-1.665250361E-1,2.090349197E-1
4.662010060E-1,-1.675299406E0,3.686174005E-2,1.988763809E-1
4.712201720E-1,-1.490453124E0,1.622219384E-1,2.018680573E-1
4.762393390E-1,-1.238914967E0,2.090626955E-1,2.699575424E-1
4.812585060E-1,-9.673399925E-1,1.920880675E-1,3.610124588E-1
4.862776720E-1,-7.161652446E-1,5.977654457E-2,4.167556763E-1
4.912968390E-1,-4.808508456E-1,-1.641666591E-1,6.484069824E-1
4.963160060E-1,-2.836421430E-1,-3.581247926E-1,8.610839844E-1
5.013351720E-1,-4.299566150E-2,-4.232502282E-1,1.309803963E0
5.063543390E-1,7.300892472E-2,-4.021755159E-1,1.685375214E0
5.113735060E-1,-5.750954151E-4,-3.483940959E-1,1.717262268E0
5.163926720E-1,-2.175410986E-1,-2.990152836E-1,1.625843048E0
5.214118390E-1,-5.330871344E-1,-2.950403690E-1,1.369665146E0
5.264310060E-1,-8.515878916E-1,-3.080448508E-1,1.192120552E0
5.314501720E-1,-1.089980006E0,-2.844246030E-1,1.190835953E0
5.364693390E-1,-1.216851830E0,-1.548544168E-1,1.191033363E0
5.414885060E-1,-1.256295204E0,-3.423358500E-2,1.189124107E0
5.465076720E-1,-1.220684052E0,7.494479418E-3,1.202868462E0
5.515268390E-1,-1.153029799E0,1.025837660E-2,1.194124222E0
5.565460060E-1,-1.140784144E0,-1.839642227E-2,1.189152718E0
5.615651720E-1,-1.189838886E0,-3.304460645E-2,1.095360756E0
5.665843390E-1,-1.264504910E0,-1.337933540E-2,9.906101227E-1
5.716035060E-1,-1.297233820E0,-1.146918535E-2,8.547983170E-1
5.766226720E-1,-1.282837152E0,4.384219646E-3,7.463006973E-1
5.816418390E-1,-1.236966372E0,3.109326959E-2,6.886196136E-1
5.866610060E-1,-1.184216022E0,-8.539706469E-3,6.623630524E-1
5.916801720E-1,-1.135985613E0,-3.253051639E-2,6.993246078E-1
5.966993390E-1,-1.061766267E0,-2.116662264E-2,7.064476013E-1
6.017185060E-1,-8.992591500E-1,6.046184897E-2,6.816682816E-1
6.067376720E-1,-6.087722778E-1,1.966236979E-1,7.665796280E-1
6.117612140E-1,-3.062051535E-1,2.534171939E-1,7.857780457E-1
6.167785060E-1,-4.956853390E-2,2.098969519E-1,8.370666504E-1
6.217957970E-1,4.049623013E-2,3.603464365E-2,8.535966873E-1
6.268130890E-1,1.808583736E-2,-1.270589530E-1,8.154010773E-1
6.318305890E-1,-3.337669373E-2,-1.875771880E-1,6.967515945E-1
6.368482970E-1,-1.165637970E-1,-1.426965296E-1,5.766029358E-1
6.418662140E-1,-1.748929620E-1,-8.175468445E-2,4.109640121E-1
6.468843390E-1,-2.910982370E-1,-5.984246731E-2,1.443309784E-1
6.519026720E-1,-1.911838651E-1,5.479842424E-3,2.324056625E-1
6.569214220E-1,-1.256521940E-1,1.040104032E-1,1.807289124E-1
6.619403810E-1,-8.879321814E-2,1.738260984E-1,1.209917068E-1
6.669595470E-1,-6.335192919E-2,2.174491584E-1,1.043596268E-1
6.719789220E-1,-1.099777222E-2,2.576303482E-1,8.300685883E-2
6.769985060E-1,5.620634556E-2,2.102317512E-1,6.886005402E-2
6.820182970E-1,6.424123049E-2,1.364548504E-1,2.857112885E-2
6.870382970E-1,1.037856340E-1,1.359661520E-1,6.330776215E-2
6.920585060E-1,1.027556062E-1,1.425551474E-1,7.037353516E-2
6.970789220E-1,1.721360087E-1,1.082979441E-1,6.434440613E-2
7.020993390E-1,2.265542150E-1,5.826991796E-2,1.000404358E-1
7.071197560E-1,2.493681312E-1,-2.342295647E-2,1.962451935E-1
7.121401720E-1,2.060401440E-1,-3.554707766E-2,2.229490280E-1
7.171605890E-1,2.451118827E-1,2.485513687E-5,1.794071198E-1
7.221799640E-1,2.941887975E-1,8.790099621E-2,7.082462311E-2
7.271989220E-1,2.925019860E-1,2.040196955E-1,5.455112457E-2
7.322178810E-1,1.306558251E-1,2.829031944E-1,-1.630783081E-2
7.372368390E-1,-2.097510695E-1,3.120590746E-1,-1.675662994E-1
7.422557970E-1,-3.211882710E-1,2.899256945E-1,-2.750310898E-1
7.472747560E-1,-4.460943341E-1,2.206366956E-1,-3.557100296E-1
7.522937140E-1,-5.775867105E-1,1.391975880E-1,-3.146867752E-1
7.573126720E-1,-6.979832649E-1,-3.720605373E-2,-2.253026962E-1
7.623316310E-1,-7.538465261E-1,-1.995119452E-1,-2.067594528E-1
7.673505890E-1,-7.634599209E-1,-2.489945292E-1,-2.026844025E-1
7.723695470E-1,-7.548846006E-1,-2.168999314E-1,-1.567373276E-1
7.773885060E-1,-7.551653981E-1,-1.095969677E-1,-1.301422119E-1
7.824074640E-1,-6.514785290E-1,-2.527117729E-2,-1.025743484E-1
7.874264220E-1,-5.029888749E-1,7.697403431E-3,-8.830451965E-2
7.924453810E-1,-3.572837114E-1,1.225084066E-2,-5.276966095E-2
7.974643390E-1,-2.190402746E-1,2.888298035E-2,-4.956626892E-2
8.024832970E-1,-1.395733953E-1,1.043704748E-1,2.844619751E-2
8.075022560E-1,-7.868647575E-3,1.028336287E-1,-3.778076172E-2
8.125212140E-1,1.477327347E-1,8.195054531E-2,-7.021903992E-2
8.175401720E-1,3.321105242E-1,1.045771837E-1,-3.007793427E-2
8.225591310E-1,4.943618476E-1,1.404342055E-1,-2.846240997E-2
8.275780890E-1,6.263607740E-1,1.856757402E-1,-3.300952911E-2
8.325970470E-1,6.835073233E-1,2.499375343E-1,-6.023979187E-2
8.376160060E-1,7.402148247E-1,2.324298024E-1,-1.502790451E-1
8.426349640E-1,7.082149982E-1,1.639259458E-1,-1.648883820E-1
8.476539220E-1,7.269629240E-1,1.234079003E-1,-8.093929291E-2
8.526728810E-1,8.200560808E-1,1.558832526E-1,3.906250000E-2
8.576918390E-1,9.294493198E-1,2.298958302E-1,1.426553726E-1
8.627107970E-1,1.085151553E0,2.710026503E-1,2.139081955E-1
8.677297560E-1,1.279685020E0,3.085169792E-1,2.609777451E-1
8.727487140E-1,1.423922300E0,3.067513108E-1,3.280744553E-1
8.777676720E-1,1.509461045E0,2.610153556E-1,4.008522034E-1
8.827866310E-1,1.614149094E0,1.547435522E-1,4.948215485E-1
8.878057970E-1,1.468096852E0,1.087188721E-2,5.968608856E-1
8.928249640E-1,8.784582615E-1,-2.765573263E-1,6.105241776E-1
8.978441310E-1,3.812561035E-1,-5.104888678E-1,7.136507034E-1
9.028632970E-1,7.883465290E-2,-5.714727640E-1,7.830295563E-1
9.078824640E-1,-1.997044683E-1,-5.108385086E-1,8.044805527E-1
9.129016310E-1,-5.274562836E-1,-3.974564075E-1,7.555913925E-1
9.179207970E-1,-9.066827893E-1,-2.947103977E-1,6.367406845E-1
9.229399640E-1,-1.196687698E0,-2.366522551E-1,4.697790146E-1
9.279591310E-1,-1.410029173E0,-2.058076859E-1,2.931232452E-1
9.329782970E-1,-1.471592784E0,-1.991194487E-1,1.532773972E-1
9.379974640E-1,-1.434059381E0,-1.716524363E-1,5.246257782E-2
9.430166310E-1,-1.286733508E0,-1.040079594E-1,-1.189231873E-3
9.480357970E-1,-1.038745522E0,-1.269352436E-2,-3.410148621E-2
9.530549640E-1,-7.066213489E-1,6.088805199E-2,-7.257270813E-2
9.580741310E-1,-3.044821620E-1,9.917652607E-2,-1.130275726E-1
9.630932970E-1,7.999545336E-2,1.025924683E-1,-1.316480637E-1
9.681124640E-1,3.836406469E-1,5.690371990E-2,-9.999561310E-2
9.731348600E-1,6.176681519E-1,-2.716517448E-2,-3.740692139E-2
9.781548080E-1,7.511404753E-1,-1.304439306E-1,7.022094727E-2
9.831739750E-1,7.760254145E-1,-2.118000984E-1,2.273359299E-1
9.881930890E-1,7.038412690E-1,-2.659761906E-1,3.205022812E-1
9.932120470E-1,5.607107878E-1,-3.128407001E-1,3.416843414E-1
9.982310060E-1,4.061214328E-1,-3.051440716E-1,3.127012253E-1
1.003249964E0,2.597514987E-1,-3.097908497E-1,2.612533569E-1
1.008268922E0,8.487200737E-2,-3.017787933E-1,2.505846024E-1
1.013287881E0,-1.585891247E-1,-2.740310431E-1,3.090991974E-1
1.018306839E0,-4.533174038E-1,-1.566066742E-1,3.780813217E-1
1.023325797E0,-6.906850934E-1,-6.182372570E-2,3.991250992E-1
1.028344756E0,-7.678626776E-1,3.322935104E-2,3.962717056E-1
1.033363714E0,-7.824712992E-1,1.334105730E-1,3.803424835E-1
1.038382672E0,-6.997045279E-1,2.137316465E-1,4.144878387E-1
1.043401631E0,-5.536404848E-1,2.823408842E-1,5.055475235E-1
1.048420589E0,-3.947222829E-1,3.138589859E-1,5.721664429E-1
1.053439547E0,-1.988717318E-1,3.727465868E-1,5.882682800E-1
1.058458506E0,-1.759403944E-2,4.408493638E-1,5.850324631E-1
1.063477464E0,1.395012736E-1,4.728730321E-1,5.768308640E-1
1.068496422E0,2.771793604E-1,5.057722330E-1,5.338659286E-1
1.073515381E0,3.789728880E-1,5.109746456E-1,4.670314789E-1
1.078534339E0,4.305315316E-1,4.853902459E-1,3.681249619E-1
1.083553297E0,4.771506488E-1,4.659617543E-1,2.968282700E-1
1.088572256E0,4.982550144E-1,3.955621719E-1,2.279672623E-1
1.093591214E0,5.201139450E-1,2.794244289E-1,1.639404297E-1
1.098610172E0,5.261238813E-1,1.549069881E-1,1.357460022E-1
1.103629131E0,5.057893991E-1,6.624817848E-3,1.051139832E-1
1.108648089E0,4.841968417E-1,-1.604346037E-1,6.610965729E-2
1.113667047E0,3.389050066E-1,-3.257997036E-1,2.239322662E-2
1.118686006E0,8.483737707E-2,-4.759309292E-1,-2.130346298E-1
1.123704964E0,-2.825838327E-2,-4.491273165E-1,-5.779361725E-2
1.128723922E0,-1.260982156E-1,-3.692474365E-1,-6.186580658E-2
1.133742881E0,-1.858893633E-1,-2.461470366E-1,-5.411434174E-2
1.138761839E0,-2.082279921E-1,-1.133234501E-1,-4.166698456E-2
1.143780797E0,-1.950717568E-1,1.611948013E-3,-5.670356750E-2
1.148799808E0,-2.339736819E-1,1.027678251E-1,-9.549331665E-2
1.153818975E0,-2.292310596E-1,2.477077246E-1,-3.640365601E-2
1.158838141E0,-1.329581738E-1,4.243661165E-1,5.214691162E-2
1.163857308E0,-2.494388819E-2,5.459544063E-1,1.473913193E-1
1.168876475E0,1.332187057E-1,6.071786284E-1,1.886100769E-1
1.173895641E0,3.259028792E-1,6.216965914E-1,2.643852234E-1
1.178914808E0,5.330467224E-1,6.101985574E-1,3.556480408E-1
1.183933975E0,6.833525896E-1,6.145061255E-1,4.230947495E-1
1.188953141E0,8.180931807E-1,5.951998830E-1,5.348005295E-1
1.193972308E0,8.785635233E-1,5.759044886E-1,6.654691696E-1
1.198991475E0,8.930290341E-1,5.180014968E-1,8.089418411E-1
1.204010641E0,8.207608461E-1,4.245405197E-1,8.851718903E-1
1.209029808E0,6.932189465E-1,3.068779707E-1,9.909000397E-1
1.214048975E0,5.666268468E-1,2.111375332E-1,1.019833565E0
1.219068141E0,4.658863544E-1,1.023068428E-1,9.018917084E-1
1.224087308E0,3.807301521E-1,2.931487560E-2,7.222795486E-1
1.229106475E0,2.997403443E-1,-3.641009331E-2,4.800405502E-1
1.234125641E0,2.200530171E-1,-7.918322086E-2,2.541103363E-1
1.239144808E0,1.947917342E-1,-9.515392780E-2,6.709003448E-2
1.244163975E0,1.747108996E-1,-1.186224222E-1,-9.544563293E-2
1.249183141E0,1.572943330E-1,-1.171147823E-1,-2.109155655E-1
1.254202308E0,1.532282829E-1,-1.000010967E-1,-3.307409286E-1
1.259221475E0,1.137031913E-1,-7.767915726E-2,-4.345731735E-1
1.264240641E0,4.754638672E-2,-6.891489029E-3,-4.914016724E-1
1.269259808E0,-3.102600574E-3,4.662311077E-2,-5.109281540E-1
1.274278975E0,-5.480831861E-2,1.009646654E-1,-4.527301788E-1
1.279298141E0,-7.874774933E-2,1.214452982E-1,-3.624219894E-1
1.284317308E0,-5.599033833E-2,1.426157951E-1,-2.926206589E-1
1.289336475E0,1.102983952E-2,1.184208393E-1,-1.768951416E-1
1.294355641E0,1.099355817E-1,8.175361156E-2,-7.154750824E-2
1.299374808E0,2.322272956E-1,5.496883392E-2,-2.717971802E-4
