"event","experiment time","system time","system time text"
"START",0.000000000E0,1720615591.916,"2024-07-10 14:46:31.916 UTC+02:00"
"PAUSE",1.102037417E2,1720615702.119,"2024-07-10 14:48:22.119 UTC+02:00"
