"Time (s)","w","x","y","z"
7.468166760E-1,4.258468604E-1,-1.168508828E-2,-2.579026669E-2,9.043521285E-1
7.569412070E-1,4.218678377E-1,-1.593630947E-2,-2.170490474E-2,9.062573910E-1
7.669024050E-1,4.174312629E-1,-1.973235607E-2,-1.755246334E-2,9.083246589E-1
7.769104780E-1,4.124520581E-1,-2.267163061E-2,-1.340698544E-2,9.105984569E-1
7.869380820E-1,4.070934675E-1,-2.468877658E-2,-9.235482663E-3,9.130060673E-1
7.970080300E-1,4.015698720E-1,-2.589669451E-2,-4.973907489E-3,9.154486656E-1
8.071101130E-1,3.961347745E-1,-2.663492225E-2,-4.920361680E-4,9.178058505E-1
8.171179260E-1,3.909496796E-1,-2.730495296E-2,4.270885140E-3,9.199970365E-1
8.271440190E-1,3.860345377E-1,-2.827983908E-2,9.310139343E-3,9.220037460E-1
8.372229780E-1,3.812963283E-1,-2.966933884E-2,1.453343127E-2,9.238623381E-1
8.472019360E-1,3.767116997E-1,-3.111478686E-2,1.968700439E-2,9.255985022E-1
8.572998530E-1,3.723812137E-1,-3.219669312E-2,2.462396584E-2,9.271942973E-1
8.673482900E-1,3.685216929E-1,-3.260062635E-2,2.922708914E-2,9.285874963E-1
8.773231340E-1,3.653385663E-1,-3.226397187E-2,3.336753696E-2,9.297168255E-1
8.874353730E-1,3.629777828E-1,-3.116854466E-2,3.662974015E-2,9.305557013E-1
8.977041760E-1,3.614118696E-1,-3.032871708E-2,3.909455985E-2,9.310925007E-1
9.075025610E-1,3.604317820E-1,-3.060095385E-2,4.125205427E-2,9.313703775E-1
9.174756340E-1,3.593500873E-1,-2.998859994E-2,4.312781245E-2,9.317232370E-1
9.275040190E-1,3.580784693E-1,-2.848986536E-2,4.545636475E-2,9.321490526E-1
9.375380820E-1,3.567040321E-1,-2.779970318E-2,4.912487045E-2,9.325106740E-1
9.475934460E-1,3.551277150E-1,-2.729580365E-2,5.400096998E-2,9.328575134E-1
9.576236550E-1,3.533911552E-1,-2.561522275E-2,5.942413956E-2,9.332348704E-1
9.676469880E-1,3.516412201E-1,-2.206770517E-2,6.473837793E-2,9.336329103E-1
9.776838630E-1,3.497610812E-1,-1.787168533E-2,6.955406815E-2,9.340824485E-1
9.878338630E-1,3.474081586E-1,-1.532055903E-2,7.443486899E-2,9.346294999E-1
9.977787590E-1,3.445750630E-1,-1.466609165E-2,7.927466184E-2,9.352905750E-1
1.007825426E0,3.415693576E-1,-1.409149263E-2,8.340088278E-2,9.360427856E-1
1.017857040E0,3.389218826E-1,-1.246726420E-2,8.637712896E-2,9.367579818E-1
1.028003446E0,3.370703821E-1,-1.011878904E-2,8.874793351E-2,9.372326136E-1
1.037942665E0,3.360018843E-1,-8.090919815E-3,9.181901813E-2,9.373401403E-1
1.047966832E0,3.355411847E-1,-6.573512219E-3,9.578256309E-2,9.371203780E-1
1.057994957E0,3.350588560E-1,-6.182262208E-3,1.003673971E-1,9.368157387E-1
1.068068082E0,3.342578576E-1,-6.480870303E-3,1.051945463E-1,9.365702271E-1
1.078064905E0,3.328415295E-1,-5.757104605E-3,1.093447581E-1,9.366040230E-1
1.088238759E0,3.308267959E-1,-4.305952229E-3,1.127579361E-1,9.369208813E-1
1.098158342E0,3.285389667E-1,-3.634200199E-3,1.156050041E-1,9.373816848E-1
1.108216311E0,3.259241987E-1,-4.335019737E-3,1.182314530E-1,9.379637241E-1
1.117978603E0,3.235428950E-1,-1.207134686E-3,1.182236597E-1,9.387980103E-1
1.128096676E0,3.204419361E-1,3.320251126E-3,1.167901680E-1,9.400351048E-1
1.138087613E0,3.163224353E-1,7.197986823E-3,1.146482974E-1,9.416708946E-1
1.148182769E0,3.118409425E-1,1.014466397E-2,1.121795997E-1,9.434341788E-1
1.158173707E0,3.071916047E-1,1.231980417E-2,1.094710603E-1,9.452500343E-1
1.168317821E0,3.136270490E-1,1.498178672E-2,1.070653126E-1,9.433719516E-1
1.178455269E0,3.082139238E-1,1.556358952E-2,1.037733257E-1,9.455120564E-1
1.188640478E0,3.025899837E-1,1.528476179E-2,1.005535349E-1,9.476785660E-1
1.198590946E0,2.967360610E-1,1.401204802E-2,9.736544639E-2,9.498796463E-1
1.208644696E0,2.906173632E-1,1.150270831E-2,9.454350173E-2,9.520875812E-1
1.218641207E0,2.846247379E-1,8.533859625E-3,9.190206975E-2,9.541854858E-1
1.228746676E0,2.790927225E-1,6.106160581E-3,8.960819989E-2,9.560545683E-1
1.238658238E0,2.743226327E-1,4.765729420E-3,8.737432212E-2,9.576482177E-1
1.248776571E0,2.703287075E-1,3.851286601E-3,8.521342278E-2,9.589818716E-1
1.258726259E0,2.664038329E-1,3.398712957E-3,8.239807934E-2,9.603270292E-1
1.268847978E0,2.618834298E-1,2.658721758E-3,7.848203927E-2,9.618994594E-1
1.278877561E0,2.565531421E-1,1.636453206E-3,7.332924008E-2,9.637430310E-1
1.288919332E0,2.504921177E-1,1.008796389E-3,6.732523441E-2,9.657742977E-1
1.298897248E0,2.439771315E-1,1.326460391E-3,6.061410531E-2,9.678839445E-1
1.309000530E0,2.368981354E-1,2.500173869E-3,5.257602036E-2,9.701076150E-1
1.318956259E0,2.293482808E-1,3.516369266E-3,4.358753189E-2,9.723616242E-1
1.329075269E0,2.221245442E-1,3.884081263E-3,3.540096804E-2,9.743676782E-1
1.339065373E0,2.170998722E-1,2.898416715E-3,3.093718737E-2,9.756547213E-1
1.348970894E0,2.151098150E-1,5.793602322E-4,2.965415269E-2,9.761393666E-1
1.359158238E0,2.151340050E-1,-2.462532371E-3,2.947769687E-2,9.761364460E-1
1.369267613E0,2.163844289E-1,-4.999329802E-3,2.894532494E-2,9.758662581E-1
1.379222717E0,2.180938341E-1,-7.137659471E-3,2.749964781E-2,9.755141735E-1
1.389127665E0,2.195783932E-1,-9.213011712E-3,2.558075264E-2,9.752159119E-1
1.401759905E0,2.208111740E-1,-1.092644501E-2,2.379531413E-2,9.749650359E-1
1.411491415E0,2.217664264E-1,-1.251358632E-2,2.222971246E-2,9.747660756E-1
1.421805946E0,2.223648019E-1,-1.423091535E-2,2.080275491E-2,9.746376872E-1
1.431472873E0,2.226757480E-1,-1.615542173E-2,1.935192384E-2,9.745665789E-1
1.441848759E0,2.226756481E-1,-1.808428392E-2,1.802761480E-2,9.745581150E-1
1.451531311E0,2.220148214E-1,-1.988891512E-2,1.687402837E-2,9.746943712E-1
1.461963446E0,2.205425766E-1,-2.059998550E-2,1.561047882E-2,9.750348330E-1
