"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.329358940E-1,-4.193093479E-1,8.173888922E-2,-2.940053940E-1
4.379548530E-1,-4.530449510E-1,5.605965853E-2,-2.597904205E-1
4.429738110E-1,-4.675768912E-1,4.682374001E-2,-1.679067612E-1
4.479927690E-1,-4.689868987E-1,7.385736704E-2,-9.236049652E-2
4.530117280E-1,-4.459067583E-1,9.032666683E-2,-4.124355316E-2
4.580306860E-1,-3.614115119E-1,9.259498119E-2,2.480125427E-2
4.630496440E-1,-2.850205898E-1,9.123945236E-2,5.589771271E-2
4.680686030E-1,-2.029456198E-1,8.011323214E-2,9.979438782E-2
4.730875610E-1,-1.459022909E-1,8.161163330E-2,1.231908798E-1
4.781065190E-1,-1.111057699E-1,7.518452406E-2,1.120872498E-1
4.831254780E-1,-7.434999943E-2,6.665307283E-2,8.696269989E-2
4.881444360E-1,-2.594059706E-2,5.492722988E-2,6.099319458E-2
4.931633940E-1,-1.164188981E-2,4.331547022E-2,6.139183044E-2
4.981823530E-1,9.532600641E-3,5.198353529E-2,5.115413666E-2
5.032013110E-1,2.383866906E-2,3.907787800E-2,4.220485687E-2
5.082202690E-1,5.758634210E-2,3.332412243E-2,-1.761436462E-2
5.132392280E-1,1.069058776E-1,1.693129539E-2,-5.787563324E-2
5.182581860E-1,1.468075812E-1,2.559328079E-2,-7.048416138E-2
5.232771440E-1,1.749403775E-1,4.007953405E-2,-8.771610260E-2
5.282961030E-1,1.749001741E-1,7.111173868E-2,-9.293270111E-2
5.333150610E-1,1.459631920E-1,1.055499315E-1,-7.321166992E-2
5.383340190E-1,1.128508151E-1,1.550964117E-1,8.192062378E-4
5.433529780E-1,1.023063958E-1,2.195100188E-1,1.333646774E-1
5.483719360E-1,6.574404240E-2,2.712036371E-1,2.230710983E-1
5.533908940E-1,4.676359892E-2,3.196269870E-1,3.237266541E-1
5.584098530E-1,-1.599678397E-2,3.659732342E-1,3.996868134E-1
5.634288110E-1,-7.338988781E-2,3.564913571E-1,4.381475449E-1
5.684477690E-1,-1.394817382E-1,3.450081050E-1,4.726972580E-1
5.734667280E-1,-2.197844833E-1,3.206725717E-1,4.796609879E-1
5.784856860E-1,-2.885201573E-1,2.775283456E-1,4.889488220E-1
5.835046440E-1,-3.425183594E-1,2.667151690E-1,4.257917404E-1
5.885236030E-1,-3.803794980E-1,2.167268991E-1,3.738622665E-1
5.935425610E-1,-4.115532637E-1,1.265419126E-1,3.627090454E-1
5.985615190E-1,-4.611255527E-1,4.297053814E-2,3.753852844E-1
6.035804780E-1,-4.623524845E-1,3.946268559E-2,3.274135590E-1
6.085994360E-1,-3.771743774E-1,1.310319304E-1,2.703447342E-1
6.136183940E-1,-2.603871822E-1,2.278336883E-1,2.054185867E-1
6.186373530E-1,-1.924641281E-1,3.100161552E-1,1.267614365E-1
6.236563110E-1,-2.338446081E-1,3.480833769E-1,8.343696594E-3
6.286752690E-1,-3.009819388E-1,3.640184700E-1,-1.388330460E-1
6.336942280E-1,-4.289242625E-1,3.582746983E-1,-2.622947693E-1
6.387131860E-1,-5.522955656E-1,3.574996889E-1,-3.930625916E-1
6.437321440E-1,-6.428728104E-1,3.820908070E-1,-5.334205627E-1
6.487511030E-1,-7.199292183E-1,4.083738923E-1,-6.227302551E-1
6.537700610E-1,-7.356598377E-1,4.674820006E-1,-7.231464386E-1
6.587890190E-1,-7.263429165E-1,4.913192391E-1,-7.752857208E-1
6.638079780E-1,-6.375740767E-1,4.871534705E-1,-8.045520782E-1
6.688269360E-1,-5.688532591E-1,4.526423216E-1,-7.553968430E-1
6.738458940E-1,-5.154786706E-1,3.709523976E-1,-6.937847137E-1
6.788648530E-1,-4.575641751E-1,2.908113003E-1,-6.198110580E-1
6.838838110E-1,-3.903427720E-1,2.345199585E-1,-5.668258667E-1
6.889027690E-1,-3.719162345E-1,1.931415796E-1,-5.477294922E-1
6.939217280E-1,-3.333197534E-1,1.257380247E-1,-5.206832886E-1
6.989406860E-1,-3.025156558E-1,9.638553858E-2,-5.522079468E-1
7.039596440E-1,-2.702900171E-1,4.185867310E-2,-6.168413162E-1
7.089786030E-1,-2.336794138E-1,6.313693523E-2,-6.905269623E-1
7.139975610E-1,-2.173669189E-1,3.753381968E-2,-7.589120865E-1
7.190165190E-1,-2.276811898E-1,-4.957562685E-2,-8.231763840E-1
7.240354780E-1,-2.509494126E-1,-6.667011976E-2,-8.429298401E-1
7.290544360E-1,-2.216647267E-1,-2.594465017E-2,-7.638692856E-1
7.340733940E-1,-1.633486003E-1,2.955913544E-2,-6.128673553E-1
7.390923530E-1,-1.095035896E-1,6.879115105E-2,-3.999776840E-1
7.441113110E-1,-1.160202250E-1,1.270692348E-1,-1.862363815E-1
7.491302690E-1,-1.307926327E-1,1.720161438E-1,8.207321167E-3
7.541492280E-1,-1.647266597E-1,9.427931905E-2,1.882753372E-1
7.591681860E-1,-2.814987898E-1,-3.994929790E-2,3.599901199E-1
7.641871440E-1,-4.360214174E-1,-1.368013024E-1,5.007867813E-1
7.692061030E-1,-5.134587288E-1,-1.897486448E-1,6.512117386E-1
7.742250610E-1,-5.217661262E-1,-2.218437195E-1,7.660198212E-1
7.792440190E-1,-4.807170033E-1,-2.072879374E-1,8.347644806E-1
7.842629780E-1,-4.179454148E-1,-1.678678989E-1,8.340539932E-1
7.892819360E-1,-3.595391512E-1,-1.085427105E-1,8.166818619E-1
7.943008940E-1,-2.431106567E-1,-5.431789160E-2,8.112964630E-1
7.993199050E-1,-1.382402778E-1,-7.432073355E-3,7.846050262E-1
8.043390710E-1,1.796084642E-2,-2.465775609E-2,7.724685669E-1
8.093582380E-1,1.748562455E-1,5.227521062E-3,6.976718903E-1
8.143774050E-1,3.452189267E-1,5.376766622E-2,6.367959976E-1
8.193965710E-1,5.476722121E-1,9.386432171E-2,5.945577621E-1
8.244157380E-1,7.553045750E-1,1.532964110E-1,5.839309692E-1
8.294349050E-1,9.124693871E-1,2.024688423E-1,5.916271210E-1
8.344540710E-1,1.072144389E0,2.287439406E-1,5.770883560E-1
8.394732380E-1,1.156018734E0,2.122850418E-1,5.997781754E-1
8.444924050E-1,1.211098194E0,1.026115716E-1,6.984672546E-1
8.495115710E-1,1.273387551E0,-3.434331715E-2,8.522405624E-1
8.545307380E-1,1.269342422E0,-1.711459756E-1,9.240074158E-1
8.595499050E-1,1.247436643E0,-2.755542099E-1,9.369153976E-1
8.645690710E-1,1.222759724E0,-3.312549293E-1,9.234380722E-1
8.695882380E-1,1.142933488E0,-2.967832386E-1,8.635673523E-1
8.746074050E-1,1.052096844E0,-1.450787038E-1,7.338914871E-1
8.796265710E-1,9.662441611E-1,1.014877260E-1,4.600858688E-1
8.846457380E-1,8.931139112E-1,3.935844004E-1,1.216878891E-1
8.896649050E-1,8.555649519E-1,6.378310919E-1,-6.928348541E-2
8.946840710E-1,8.171103597E-1,8.046585321E-1,-1.730833054E-1
8.997032380E-1,7.638995051E-1,9.430099726E-1,-2.923164368E-1
9.047224050E-1,5.553896427E-1,1.029911041E0,-2.299337387E-1
9.097415710E-1,2.830681205E-1,1.134593964E0,6.321430206E-2
9.147607380E-1,1.247447729E-1,1.250565052E0,4.544534683E-1
9.197799050E-1,2.196314335E-1,1.217140198E0,7.409267426E-1
9.247990710E-1,3.563654423E-1,1.069290757E0,9.905118942E-1
9.298182380E-1,3.705442250E-1,8.962630033E-1,1.226526260E0
