"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.540843250E-1,9.906217456E-3,1.341176033E-2,1.614570618E-3
7.642203800E-1,6.142258644E-4,7.514953613E-3,1.316165924E-2
7.743516430E-1,-8.673220873E-3,2.330017090E-2,2.715492249E-2
7.844788430E-1,5.995586514E-3,-1.691341400E-3,2.812385559E-3
7.946022710E-1,-1.287563145E-2,-1.704883575E-2,3.910064697E-5
8.047223160E-1,-1.042795181E-2,-4.448008537E-2,-5.159378052E-3
8.148745330E-1,-1.269665360E-2,-3.579497337E-2,-7.085800171E-4
8.250224490E-1,-1.247285306E-2,-4.634261131E-2,-1.304817200E-2
8.351663690E-1,9.159490466E-3,-2.322626114E-2,-1.387596130E-3
8.453066760E-1,6.547257304E-3,-3.113722801E-2,-6.442070007E-3
8.554435640E-1,-8.015438914E-3,-2.694296837E-2,-1.384162903E-2
8.655771710E-1,-1.068152487E-2,-4.671764374E-2,-2.603721619E-2
8.757078260E-1,8.204519749E-3,-5.910062790E-2,-3.336811066E-2
8.858356260E-1,1.765067875E-2,-1.633834839E-2,-3.109359741E-2
8.971154320E-1,3.440849483E-2,-9.769439697E-3,2.195358276E-3
9.071664320E-1,1.091125607E-2,-1.336097717E-2,-6.561279297E-4
9.172154320E-1,4.458695650E-3,-5.562067032E-2,-2.998828888E-2
9.272644320E-1,9.668454528E-3,-6.629467010E-2,-2.562046051E-2
9.373130980E-1,-1.174567640E-2,-5.941605568E-2,5.387306213E-3
9.473610980E-1,-4.686519504E-3,-5.201840401E-2,-1.128768921E-2
9.574090980E-1,4.840344191E-3,-3.998064995E-2,-1.126194000E-2
9.674569310E-1,7.265344262E-3,-4.035663605E-2,5.324172974E-2
9.784184320E-1,3.113573790E-2,-1.495051384E-2,7.405281067E-3
9.884644320E-1,3.376798332E-2,-1.871824265E-3,-1.056060791E-1
9.985094320E-1,2.548746765E-2,-1.087689400E-2,3.813743591E-3
1.008555432E0,2.639845014E-3,-6.133055687E-2,-4.984283447E-2
1.018600098E0,-2.990432084E-2,-4.256248474E-2,-4.850769043E-2
1.028644348E0,-5.237707496E-2,-4.080486298E-2,2.310562134E-2
1.038688948E0,-3.851725161E-2,-8.845949173E-2,1.608467102E-2
1.048734114E0,-7.509216666E-3,-8.403468132E-2,1.840877533E-2
1.059700432E0,6.496846676E-2,-3.843545914E-2,-3.939628601E-3
1.069744432E0,4.703433812E-2,-1.376080513E-2,-6.246566772E-4
1.079787432E0,2.570325136E-2,1.567912102E-2,-3.565979004E-2
1.089830932E0,5.686223507E-3,-1.518011093E-3,-2.717208862E-2
1.099874598E0,-3.796784580E-2,-2.661299706E-2,1.083374023E-3
1.109918598E0,-3.893391788E-2,-3.403353691E-2,-2.537822723E-2
1.119962198E0,3.113090992E-3,-1.749658585E-2,-1.352596283E-2
1.130006031E0,2.828216553E-2,6.211042404E-3,1.269245148E-2
1.140166602E0,3.166946769E-2,2.711629868E-2,2.852439880E-3
1.150312977E0,-1.114398241E-3,9.268045425E-3,-1.672363281E-2
1.160448421E0,-1.528681815E-2,-3.246855736E-2,-1.950359344E-2
1.170574921E0,-2.002966404E-2,-8.807945251E-2,-2.928352356E-2
1.180694284E0,-2.214705944E-2,-1.217982769E-1,-7.817268372E-3
1.190807950E0,-1.682966948E-2,-1.266436577E-1,-4.136943817E-2
1.200916565E0,7.736250758E-3,-1.077353954E-1,-3.908252716E-2
1.211021065E0,-2.042293549E-2,-9.814286232E-2,-4.866790771E-2
1.221174798E0,4.120483994E-3,-5.217814445E-2,-3.414344788E-2
1.231322048E0,-7.476732135E-3,-5.634617805E-2,-1.237583160E-2
1.241463400E0,-3.227740526E-4,-7.275080681E-2,2.606201172E-2
1.251599455E0,-1.506455243E-2,-7.765436172E-2,-2.664184570E-2
1.261730612E0,-9.803920984E-4,-6.090831757E-2,-3.621673584E-2
1.271857812E0,-1.351162791E-3,-7.958889008E-3,5.008602142E-2
1.281981383E0,8.730143309E-4,-2.970457077E-3,7.068634033E-3
1.292101610E0,3.523498774E-3,-1.022195816E-2,-4.084682465E-2
1.302253827E0,1.117697358E-2,-1.287031174E-2,-4.813575745E-2
1.312401743E0,3.055168688E-2,-3.031778336E-2,2.103614807E-2
1.322545783E0,6.321564317E-3,-3.430843353E-4,-8.111953735E-3
1.332686167E0,9.174346924E-4,5.384206772E-3,-3.017997742E-2
1.342823129E0,3.688676655E-2,-1.496577263E-2,2.896308899E-3
1.352956950E0,2.032630146E-2,-4.474592209E-2,3.362751007E-2
1.363087708E0,-3.611505032E-3,-6.989383698E-2,-3.385353088E-2
1.373215708E0,-8.381709456E-3,-5.927348137E-2,-4.153442383E-2
1.384539432E0,1.536916196E-2,-3.389120102E-2,-2.991008759E-2
1.394589432E0,2.673648298E-2,-4.376626015E-2,-3.000450134E-2
1.404639432E0,7.169041038E-2,-4.638481140E-2,-3.736495972E-3
1.414690432E0,6.393143535E-2,-4.414463043E-2,-3.777503967E-3
1.424742098E0,1.084189117E-2,-7.265496254E-2,-2.044582367E-2
1.434793848E0,-3.691479564E-3,-5.770134926E-2,-3.698444366E-2
1.444845648E0,-3.250920773E-2,-7.848930359E-2,-5.578041077E-3
1.454897481E0,-3.956942260E-2,-5.628061295E-2,-1.251983643E-2
1.465844432E0,8.428007364E-3,-6.068921089E-2,-2.914333344E-2
1.475890432E0,-1.066817343E-2,-8.437037468E-2,-1.947212219E-2
1.485943432E0,1.571504772E-2,-1.007313728E-1,-9.748458862E-3
1.495995932E0,2.051816881E-2,-1.001472473E-1,-9.533882141E-3
1.506047265E0,3.863513470E-3,-9.498381615E-2,-2.615737915E-2
1.516097515E0,-5.496546626E-3,-8.031582832E-2,-1.647472382E-2
1.526147315E0,-5.193546414E-3,-4.649233818E-2,-2.355289459E-2
