"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.974286360E-1,-9.213335037E0,1.069340706E0,-8.179452896E0
8.075004930E-1,-9.352121353E0,1.233469605E0,-7.967187881E0
8.175709930E-1,-9.470695496E0,1.314912677E0,-7.776785851E0
8.276750360E-1,-9.300614357E0,1.455759287E0,-7.818561077E0
8.377766190E-1,-9.217856407E0,1.436455846E0,-7.936285019E0
8.478760190E-1,-9.211996078E0,1.360248327E0,-8.065110207E0
8.579733650E-1,-9.274780273E0,1.239552617E0,-8.463734627E0
8.680687720E-1,-9.285972595E0,1.208706021E0,-8.663355827E0
8.781624860E-1,-9.175584793E0,1.196722865E0,-8.966227531E0
8.882545540E-1,-9.146177292E0,1.113010645E0,-9.022941589E0
8.983451870E-1,-9.114917755E0,1.183305860E0,-8.967769623E0
9.084355200E-1,-9.201901436E0,1.355444908E0,-8.870360374E0
9.185258200E-1,-9.295410156E0,1.484465599E0,-8.732139587E0
9.286159530E-1,-9.364247322E0,1.549650431E0,-8.564605713E0
9.387058860E-1,-9.376655579E0,1.518553972E0,-8.537331581E0
9.487957190E-1,-9.373835564E0,1.485610962E0,-8.678703308E0
9.588855190E-1,-9.516160011E0,1.384166002E0,-8.715560913E0
9.689754190E-1,-9.680382729E0,1.104587555E0,-8.906080246E0
9.790653520E-1,-9.761839867E0,9.117581844E-1,-9.414937019E0
9.891759520E-1,-9.817022324E0,7.356560826E-1,-9.660112381E0
9.992866180E-1,-9.895311356E0,4.799332023E-1,-9.554288864E0
1.009397318E0,-9.313162804E0,1.083479404E0,-8.725387573E0
1.019508084E0,-9.411117554E0,1.263146877E0,-7.449117661E0
1.029618784E0,-9.540139198E0,1.279462695E0,-6.525062561E0
1.039729517E0,-9.332593918E0,1.656228304E0,-6.080080509E0
1.049823583E0,-9.584753036E0,1.320359945E0,-5.931981087E0
1.059917749E0,-9.532423019E0,1.352202177E0,-6.171977997E0
1.070038282E0,-9.185163498E0,1.387572527E0,-6.633561134E0
1.080158915E0,-9.320005417E0,1.252777696E0,-7.057285786E0
1.090279581E0,-9.447891235E0,9.343699813E-1,-6.911235809E0
