"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.897041540E-1,-2.973572314E-1,3.831067085E-1,1.260347366E-1
8.998068540E-1,-2.877449095E-1,3.859677315E-1,1.520385742E-1
9.099097540E-1,-2.913724780E-1,3.868463039E-1,1.709861755E-1
9.200126870E-1,-2.794673145E-1,4.020512104E-1,1.564130783E-1
9.301157200E-1,-2.968936265E-1,3.983681202E-1,1.491279602E-1
9.402188200E-1,-2.999660075E-1,3.834054470E-1,9.180259705E-2
9.503219200E-1,-2.762358189E-1,3.643195629E-1,6.585597992E-2
9.604250200E-1,-2.548280060E-1,3.413591385E-1,6.893444061E-2
9.705284200E-1,-2.214596570E-1,3.052222729E-1,5.560970306E-2
9.806320200E-1,-1.910741925E-1,2.821805477E-1,8.328533173E-2
9.907538200E-1,-1.665159464E-1,2.603044510E-1,9.687519073E-2
1.000875720E0,-1.552474499E-1,2.705342770E-1,9.391307831E-2
1.010997686E0,-1.783863306E-1,2.362973690E-1,9.836673737E-2
1.021119752E0,-1.637291312E-1,2.221243382E-1,6.952285767E-2
1.031241952E0,-1.568694711E-1,2.257916927E-1,6.726741791E-2
1.041364318E0,-1.558170319E-1,2.230732441E-1,6.995582581E-2
1.051468818E0,-1.774473190E-1,2.282648087E-1,7.276821136E-2
1.061573284E0,-2.016329169E-1,2.147860527E-1,3.978824615E-2
1.071704950E0,-2.322958112E-1,1.989383698E-1,-3.623008728E-2
1.081836716E0,-2.500975728E-1,1.857790947E-1,-1.394653320E-2
1.091969316E0,-2.315951586E-1,1.700503826E-1,3.705883026E-2
1.102102016E0,-1.821585894E-1,1.374998093E-1,1.048078537E-1
1.112234749E0,-1.431655288E-1,1.266393661E-1,1.462144852E-1
1.122367349E0,-1.094757318E-1,1.087405682E-1,1.732692719E-1
1.132472382E0,-1.264474988E-1,1.543076038E-1,1.494884491E-1
1.142577382E0,-7.248800993E-2,1.719825268E-1,-1.349411011E-1
1.152682215E0,-1.122856140E-1,1.020750999E-1,-7.364559174E-2
1.162787148E0,-1.085438132E-1,6.025600433E-2,6.544113159E-3
1.172892048E0,-1.188781261E-1,8.572602272E-2,-1.342535019E-1
1.182996881E0,-1.134636998E-1,1.418094635E-1,-3.252725601E-1
1.193101547E0,-1.413866878E-1,1.627097130E-1,-2.569732666E-1
1.203206013E0,-1.244792342E-1,1.336371899E-1,-6.103515625E-2
1.213310546E0,-7.634401321E-2,1.513350010E-1,2.215585709E-1
1.223415112E0,-2.430790663E-2,1.201174259E-1,4.345779419E-1
1.233537178E0,-2.652162313E-2,1.124432087E-1,3.908252716E-1
1.243659311E0,-9.143978357E-2,1.061859131E-1,2.530450821E-1
1.253781544E0,-1.037533879E-1,9.324574471E-2,1.096458435E-1
1.263903810E0,-1.441984773E-1,9.347462654E-2,9.276199341E-2
1.274025910E0,-1.055057645E-1,1.229157448E-1,9.500503540E-2
1.284147876E0,-1.082096100E-1,2.355189323E-1,2.100086212E-2
1.294251776E0,-9.274464846E-2,3.261924982E-1,-7.638835907E-2
1.304355609E0,-7.556831837E-2,3.587750196E-1,-1.134052277E-1
1.315690955E0,-4.859000444E-2,2.969642878E-1,-1.213626862E-1
1.325748955E0,-7.746565342E-2,1.959731579E-1,-6.678009033E-2
1.335806955E0,-8.564215899E-2,6.777691841E-2,-3.824710846E-2
1.345866455E0,-7.744550705E-2,-2.550935745E-2,-7.034301758E-3
1.355925455E0,-7.180225849E-2,-9.147000313E-2,-4.025363922E-2
1.365984705E0,-6.689471006E-2,-1.281912327E-1,1.757049561E-2
1.376044105E0,-8.697271347E-2,-1.029977798E-1,1.063756943E-1
1.386103605E0,-5.903053284E-2,-6.929063797E-2,6.566238403E-2
1.396162176E0,-8.948868513E-2,-4.151082039E-2,-1.112079620E-2
1.406220301E0,-6.848710775E-2,2.382016182E-2,-3.292655945E-2
1.416278078E0,-6.989884377E-2,7.194542885E-2,-1.658344269E-2
1.426335678E0,-6.772464514E-2,1.006348133E-1,2.009391785E-3
1.436393132E0,-5.638206005E-2,1.049439907E-1,3.244972229E-2
1.446450465E0,-4.701697826E-2,1.161098480E-1,8.199787140E-2
1.456507695E0,-4.270225763E-2,1.219127178E-1,1.050653458E-1
1.466564409E0,-1.680630445E-2,1.463732719E-1,1.423931122E-1
1.476663075E0,-4.343247414E-2,1.492094994E-1,9.831237793E-2
1.486758825E0,-3.863364458E-2,1.688024998E-1,6.622505188E-2
1.496852060E0,-5.718326569E-2,1.672604084E-1,6.539535522E-2
1.506943282E0,-1.040855050E-1,1.897959709E-1,7.659244537E-2
1.517032860E0,-7.871609926E-2,1.695182323E-1,6.633758545E-2
1.527120810E0,-7.223099470E-2,1.635966301E-1,2.976512909E-2
1.537207476E0,-8.253395557E-2,1.195013523E-1,2.673912048E-2
1.547292885E0,-8.354467154E-2,9.245347977E-2,2.615165710E-2
1.558602955E0,-7.056468725E-2,7.028985023E-2,1.119709015E-2
1.568660955E0,-6.756192446E-2,6.290698051E-2,3.221988678E-2
1.578718955E0,-4.767102003E-2,5.111455917E-2,4.375743866E-2
1.588775955E0,-8.288383484E-2,2.511239052E-2,5.293273926E-2
1.598833288E0,-6.032806635E-2,5.451416969E-2,3.586769104E-2
1.608891538E0,-6.147986650E-2,5.541157722E-2,1.168537140E-2
1.618950138E0,-6.260937452E-2,6.611847878E-2,-1.723289490E-2
1.629008804E0,-5.451178551E-2,7.217049599E-2,-3.417587280E-2
1.639066804E0,-4.457163811E-2,4.955315590E-2,-5.593013763E-2
1.649125054E0,-6.564313173E-2,5.142927170E-3,-4.181766510E-2
1.659183165E0,-5.048274994E-2,-6.206274033E-3,2.010250092E-2
1.669241265E0,-1.664191484E-2,1.875162125E-3,7.486629486E-2
1.679299355E0,-9.189486504E-3,-6.801605225E-3,9.850311279E-2
1.689357438E0,1.185536385E-3,3.708338737E-2,1.748266220E-1
1.699415591E0,-2.056902647E-2,7.334637642E-2,1.362295151E-1
1.709473876E0,3.464937210E-3,9.451580048E-2,-1.154203415E-1
1.719573809E0,-3.871434927E-2,1.399898529E-2,-4.369258881E-2
1.729670996E0,-4.681873322E-2,-3.654241562E-3,-5.883312225E-2
1.739765937E0,-4.952710867E-2,1.192569733E-2,-2.256793976E-1
