"event","experiment time","system time","system time text"
"START",0.000000000E0,1720619406.259,"2024-07-10 15:50:06.259 UTC+02:00"
"PAUSE",6.246139504E2,1720620030.873,"2024-07-10 16:00:30.873 UTC+02:00"
