"event","experiment time","system time","system time text"
"START",0.000000000E0,1720616041.762,"2024-07-10 14:54:01.762 UTC+02:00"
"PAUSE",8.246161617E1,1720616124.224,"2024-07-10 14:55:24.224 UTC+02:00"
