"event","experiment time","system time","system time text"
"START",0.000000000E0,1720618616.043,"2024-07-10 15:36:56.043 UTC+02:00"
"PAUSE",6.178143593E2,1720619233.858,"2024-07-10 15:47:13.858 UTC+02:00"
