"event","experiment time","system time","system time text"
"START",0.000000000E0,1720615575.815,"2024-07-10 14:46:15.815 UTC+02:00"
"PAUSE",1.332561383E2,1720615709.071,"2024-07-10 14:48:29.071 UTC+02:00"
