"event","experiment time","system time","system time text"
"START",0.000000000E0,1720618628.331,"2024-07-10 15:37:08.331 UTC+02:00"
"PAUSE",6.733932129E2,1720619301.725,"2024-07-10 15:48:21.725 UTC+02:00"
