"event","experiment time","system time","system time text"
"START",0.000000000E0,1720620418.154,"2024-07-10 16:06:58.154 UTC+02:00"
"PAUSE",6.363624166E2,1720621054.517,"2024-07-10 16:17:34.517 UTC+02:00"
